Time,Latitude,Longitude,Altitude,Temperature,Pressure,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MPU_Temperature
14797,0,0,19.39,17.08,101092.28,-0.82,9.73,-0.19,-0.04,0.04,-0.02,17.94
15315,0,0,19.38,17.08,101092.45,-1.04,9.73,-0.09,-0.03,0.03,-0.01,17.94
15819,0,0,19.35,17.08,101092.77,-0.79,9.73,-0.20,-0.03,0.03,-0.01,17.96
16299,0,0,19.35,17.08,101092.77,-0.89,9.75,-0.17,-0.03,0.04,-0.02,17.96
16820,No info on Latitude,No info on Longitude,19.35,17.08,101092.77,-0.91,9.72,-0.14,-0.03,0.03,-0.01,17.96
17323,0,0,19.32,17.08,101093.10,-0.77,9.73,-0.17,-0.03,0.04,-0.02,17.98
17844,0,0,19.36,17.08,101092.72,-1.03,9.73,-0.11,-0.03,0.04,-0.01,17.99
18334,0,0,19.34,17.08,101092.88,-0.84,9.71,-0.19,-0.03,0.04,-0.01,17.98
18808,0,0,19.34,17.08,101092.88,-0.88,9.69,-0.17,-0.03,0.04,-0.02,17.99
19307,0,0,19.34,17.08,101092.88,-1.00,9.74,-0.10,-0.03,0.04,-0.01,18.00
19830,0,0,19.34,17.08,101092.88,-0.79,9.74,-0.15,-0.03,0.04,-0.02,18.03
20346,0,0,19.32,17.08,101093.20,-0.97,9.74,-0.13,-0.03,0.04,-0.02,18.02
20802,0,0,19.32,17.08,101093.20,-0.97,9.73,-0.21,-0.03,0.03,-0.01,18.02
21346,0,0,19.32,17.08,101093.20,-0.89,9.76,-0.20,-0.03,0.04,-0.02,18.04
21802,0,0,19.30,17.08,101093.38,-0.99,9.73,-0.15,-0.03,0.04,-0.02,18.03
22372,0,0,19.32,17.08,101093.20,-0.85,9.73,-0.15,-0.03,0.04,-0.01,18.04
22805,0,0,19.32,17.08,101093.20,-0.87,9.74,-0.20,-0.03,0.04,-0.02,18.05
23282,0,0,19.32,17.08,101093.20,-0.99,9.73,-0.14,-0.03,0.04,-0.01,18.05
23838,0,0,19.32,17.08,101093.20,-0.86,9.73,-0.17,-0.03,0.03,-0.02,18.08
24304,0,0,19.32,17.08,101093.20,-0.94,9.73,-0.14,-0.03,0.03,-0.02,18.07
24846,0,0,19.30,17.08,101093.38,-0.88,9.72,-0.14,-0.03,0.03,-0.01,18.06
25313,0,0,19.30,17.08,101093.38,-0.91,9.75,-0.26,-0.03,0.03,-0.02,18.07
25846,34°3'1.25"N,80°25'15.85"W,19.30,17.08,101093.38,-0.94,9.72,-0.14,-0.03,0.03,-0.01,18.09
26330,0,0,19.30,17.08,101093.38,-0.91,9.73,-0.25,-0.03,0.04,-0.01,18.11
26829,0,0,19.30,17.08,101093.38,-0.89,9.72,-0.11,-0.03,0.04,-0.02,18.11
27330,0,0,19.29,17.08,101093.54,-0.97,9.73,-0.17,-0.03,0.04,-0.01,18.13
27845,0,0,19.30,17.08,101093.38,-0.87,9.72,-0.17,-0.03,0.04,-0.02,18.13
28329,0,0,19.29,17.08,101093.54,-0.91,9.73,-0.19,-0.03,0.04,-0.02,18.14
28804,0,0,19.29,17.08,101093.54,-0.92,9.74,-0.13,-0.03,0.04,-0.01,18.14
29281,0,0,19.29,17.08,101093.54,-0.84,9.73,-0.17,-0.03,0.03,-0.01,18.14
